CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	N
1	4764891	var_2365	A	T	25	0.0025	0	0.100561	0.201031	2.48831	24.7443	6.169146E-01	5000
1	4765947	var_2366	A	T	25	0.0025	0	-0.300347	0.200751	-7.45257	24.8132	1.346243E-01	5000
1	4774076	var_2369	A	T	97	0.0097	0	0.043464	0.102653	4.12463	94.8976	6.719989E-01	5000
1	4779251	var_2370	A	T	144	0.0144	0	-0.0319084	0.0840804	-4.51353	141.452	7.043173E-01	5000
1	4783588	var_2373	A	T	263	0.0263	0	-0.115331	0.0634795	-28.6205	248.161	6.924518E-02	5000
1	4783822	var_2374	A	T	206	0.0206	0	0.0534687	0.0705992	10.7276	200.632	4.488363E-01	5000
1	4784181	var_2375	A	T	454	0.0454	0	0.14499	0.047429	64.4541	444.541	2.235683E-03	5000
1	4784185	var_2376	A	T	20	0.002	0	-0.299987	0.22438	-5.95845	19.8623	1.812361E-01	5000
1	4784831	var_2377	A	T	71	0.0071	0	0.111838	0.116555	8.23239	73.6102	3.372936E-01	5000
1	4785952	var_2378	A	T	55	0.0055	0	-0.093977	0.13577	-5.09818	54.2492	4.888251E-01	5000
1	4790143	var_2379	A	T	263	0.0263	0	-0.115331	0.0634795	-28.6205	248.161	6.924518E-02	5000
1	4794795	var_2381	A	T	71	0.0071	0	0.111838	0.116555	8.23239	73.6102	3.372936E-01	5000
1	4795434	var_2382	A	T	392	0.0392	0	0.00937199	0.0513052	3.56048	379.907	8.550559E-01	5000
1	4799076	var_2383	A	T	24	0.0024	0	-0.294582	0.204978	-7.01117	23.8004	1.506785E-01	5000
1	4800901	var_2384	A	T	136	0.0136	0	-0.013333	0.0864811	-1.78273	133.708	8.774735E-01	5000
UR	UR	gene_15:synonymous:0.05	UR	UR	261.297	0.0261297	0	-0.0159779	0.0144033	-77.0189	4820.35	2.672906E-01	5000
1	4866271	var_2426	A	T	31	0.0031	0	-0.0840122	0.180358	-2.58268	30.7418	6.413532E-01	5000
1	4873754	var_2432	A	T	28	0.0028	0	0.136925	0.189708	3.80464	27.7863	4.704370E-01	5000
1	4875444	var_2435	A	T	20	0.002	0	-0.778977	0.224532	-15.4514	19.8355	5.217576E-04	5000
1	4877278	var_2439	A	T	46	0.0046	0	-0.398467	0.148302	-18.1176	45.4683	7.212578E-03	5000
1	4877427	var_2440	A	T	348	0.0348	0	0.0969088	0.054644	32.4547	334.899	7.615309E-02	5000
1	4881961	var_2442	A	T	79	0.0079	0	-0.0526477	0.113564	-4.08224	77.5389	6.429379E-01	5000
1	4882679	var_2443	A	T	28	0.0028	0	-0.17021	0.190066	-4.71166	27.6815	3.705051E-01	5000
1	4886344	var_2448	A	T	37	0.0037	0	-0.0872037	0.16533	-3.1903	36.5845	5.978793E-01	5000
1	4889515	var_2452	A	T	173	0.0173	0	0.0256574	0.0761395	4.42581	172.496	7.361331E-01	5000
1	4895492	var_2456	A	T	22	0.0022	0	-0.192421	0.213897	-4.20576	21.8571	3.683345E-01	5000
1	4896264	var_2457	A	T	39	0.0039	0	-0.304089	0.161039	-11.7257	38.5602	5.898609E-02	5000
1	4902291	var_2461	A	T	113	0.0113	0	-0.00714634	0.094416	-0.801664	112.178	9.396658E-01	5000
1	4904322	var_2464	A	T	14	0.0014	0	0.00122584	0.268005	0.0170666	13.9224	9.963505E-01	5000
UR	UR	gene_16:synonymous:0.05	UR	UR	679.093	0.0679093	0	0.00958968	0.00985923	98.6548	10287.6	3.307222E-01	5000
1	5002731	var_2513	A	T	17	0.0017	0	0.0537497	0.243322	0.907851	16.8903	8.251704E-01	5000
1	5014410	var_2518	A	T	170	0.017	0	-0.162998	0.0781791	-26.6686	163.613	3.707571E-02	5000
1	5019589	var_2519	A	T	114	0.0114	0	-0.177221	0.094858	-19.6955	111.135	6.172306E-02	5000
1	5023600	var_2521	A	T	244	0.0244	0	-0.171766	0.0657362	-39.7491	231.415	8.976283E-03	5000
1	5029519	var_2523	A	T	22	0.0022	0	-0.0651587	0.213955	-1.4234	21.8452	7.607133E-01	5000
1	5032712	var_2524	A	T	234	0.0234	0	0.0310787	0.066725	6.98049	224.607	6.413780E-01	5000
1	5037077	var_2527	A	T	350	0.035	0	0.0873598	0.0546729	29.2258	334.546	1.100738E-01	5000
1	5039030	var_2528	A	T	58	0.0058	0	0.25467	0.132328	14.5437	57.108	5.428742E-02	5000
1	5039845	var_2530	A	T	39	0.0039	0	-0.304089	0.161039	-11.7257	38.5602	5.898609E-02	5000
1	5040541	var_2532	A	T	192	0.0192	0	0.0990883	0.0729804	18.6042	187.753	1.745467E-01	5000
UR	UR	gene_17:synonymous:0.05	UR	UR	110.975	0.0110975	0	0.0226532	0.0216239	48.4465	2138.62	2.948225E-01	5000
1	5431648	var_2717	A	T	292	0.0292	0	0.0712258	0.0599312	19.8304	278.416	2.346522E-01	5000
1	5434931	var_2718	A	T	11	0.0011	0	0.627187	0.302197	6.86781	10.9502	3.794688E-02	5000
1	5440042	var_2722	A	T	293	0.0293	0	0.130748	0.0594867	36.9483	282.592	2.795395E-02	5000
1	5441756	var_2724	A	T	162	0.0162	0	-0.103049	0.0794476	-16.326	158.43	1.946095E-01	5000
1	5441961	var_2725	A	T	56	0.0056	0	-0.180354	0.134563	-9.96041	55.2269	1.801481E-01	5000
1	5446669	var_2727	A	T	11	0.0011	0	0.27156	0.30231	2.9714	10.942	3.690346E-01	5000
1	5447592	var_2728	A	T	30	0.003	0	-0.0288197	0.183468	-0.856181	29.7082	8.751800E-01	5000
1	5459286	var_2734	A	T	13	0.0013	0	-0.0355286	0.278108	-0.459359	12.9293	8.983459E-01	5000
1	5465827	var_2737	A	T	247	0.0247	0	-0.0694293	0.0642272	-16.8308	242.417	2.796989E-01	5000
1	5466072	var_2738	A	T	200	0.02	0	0.0357908	0.0711449	7.07104	197.566	6.149159E-01	5000
1	5471576	var_2740	A	T	137	0.0137	0	0.0234801	0.0867529	3.11984	132.871	7.866564E-01	5000
UR	UR	gene_19:synonymous:0.05	UR	UR	304.617	0.0304617	0	0.00246192	0.0151807	10.683	4339.28	8.711681E-01	5000
1	985896	var_475	A	T	173	0.0173	0	0.11438	0.0761118	19.7446	172.622	1.328922E-01	5000
1	994579	var_481	A	T	70	0.007	0	0.00740101	0.118883	0.523663	70.7556	9.503601E-01	5000
1	996565	var_483	A	T	117	0.0117	0	-0.0183025	0.093689	-2.08513	113.926	8.451161E-01	5000
1	1006611	var_486	A	T	23	0.0023	0	0.0588362	0.209531	1.34014	22.7774	7.788640E-01	5000
1	1012455	var_488	A	T	18	0.0018	0	-0.410727	0.236331	-7.35379	17.9043	8.222316E-02	5000
1	1018906	var_492	A	T	54	0.0054	0	0.0821266	0.136997	4.37584	53.2816	5.488546E-01	5000
UR	UR	gene_2:synonymous:0.05	UR	UR	300.457	0.0300457	0	0.00183093	0.0130926	10.6811	5833.72	8.887831E-01	5000
1	5564230	var_2782	A	T	194	0.0194	0	-0.038325	0.0729386	-7.20391	187.969	5.992754E-01	5000
1	5567062	var_2785	A	T	138	0.0138	0	0.00770675	0.0845666	1.07764	139.83	9.273875E-01	5000
1	5569152	var_2786	A	T	23	0.0023	0	0.185276	0.209142	4.23581	22.8622	3.756790E-01	5000
1	5575526	var_2789	A	T	444	0.0444	0	0.0241113	0.0488374	10.1092	419.271	6.215139E-01	5000
1	5576026	var_2790	A	T	332	0.0332	0	0.0748386	0.0563159	23.5974	315.31	1.838786E-01	5000
1	5578241	var_2792	A	T	70	0.007	0	-0.000550337	0.120506	-0.0378976	68.8625	9.963562E-01	5000
1	5580268	var_2793	A	T	194	0.0194	0	-0.0493973	0.0721396	-9.49196	192.156	4.935043E-01	5000
1	5586899	var_2796	A	T	373	0.0373	0	0.0559112	0.0530056	19.9001	355.924	2.915085E-01	5000
1	5588919	var_2797	A	T	14	0.0014	0	-0.185861	0.267933	-2.58903	13.9299	4.878789E-01	5000
1	5594802	var_2801	A	T	214	0.0214	0	0.00070555	0.0693229	0.146816	208.088	9.918795E-01	5000
1	5597707	var_2803	A	T	236	0.0236	0	-0.0884534	0.0664824	-20.0125	226.249	1.833610E-01	5000
1	5606096	var_2809	A	T	120	0.012	0	0.0838499	0.0924479	9.8109	117.006	3.644087E-01	5000
UR	UR	gene_20:synonymous:0.05	UR	UR	409.414	0.0409414	0	-0.00511182	0.0117523	-37.011	7240.26	6.635887E-01	5000
1	5848115	var_2931	A	T	215	0.0215	0	-0.0279348	0.0695471	-5.77547	206.748	6.879292E-01	5000
1	5856436	var_2937	A	T	54	0.0054	0	0.386779	0.13695	20.6224	53.3183	4.739394E-03	5000
1	5856762	var_2938	A	T	26	0.0026	0	-0.32598	0.197185	-8.38388	25.719	9.829573E-02	5000
1	5858298	var_2939	A	T	27	0.0027	0	0.054813	0.19329	1.46712	26.766	7.767324E-01	5000
1	5863561	var_2942	A	T	26	0.0026	0	-0.32598	0.197185	-8.38388	25.719	9.829573E-02	5000
1	5865452	var_2944	A	T	96	0.0096	0	0.000417455	0.10322	0.0391813	93.8575	9.967731E-01	5000
1	5875563	var_2949	A	T	92	0.0092	0	-0.189639	0.105405	-17.0689	90.0075	7.199493E-02	5000
1	5882131	var_2953	A	T	129	0.0129	0	0.078719	0.0880056	10.1639	129.116	3.710665E-01	5000
1	5882404	var_2954	A	T	56	0.0056	0	-0.249006	0.134645	-13.7351	55.1598	6.440602E-02	5000
1	5883668	var_2955	A	T	67	0.0067	0	0.0507072	0.123125	3.34486	65.9642	6.804600E-01	5000
1	5887465	var_2956	A	T	15	0.0015	0	0.201842	0.258918	3.01084	14.9168	4.356500E-01	5000
1	5893364	var_2960	A	T	177	0.0177	0	-0.219559	0.076737	-37.2857	169.821	4.220532E-03	5000
1	5894787	var_2961	A	T	41	0.0041	0	-0.125364	0.156999	-5.08602	40.57	4.245794E-01	5000
UR	UR	gene_21:synonymous:0.05	UR	UR	458.38	0.045838	0	-0.0105799	0.011165	-84.8719	8022.01	3.433360E-01	5000
1	6072556	var_3054	A	T	317	0.0317	0	-7.96061e-05	0.0575027	-0.0240752	302.429	9.988954E-01	5000
1	6087793	var_3061	A	T	150	0.015	0	0.0104992	0.0825453	1.54089	146.763	8.987874E-01	5000
1	6094154	var_3065	A	T	100	0.01	0	0.271545	0.100259	27.0141	99.4831	6.760489E-03	5000
1	6094836	var_3067	A	T	91	0.0091	0	0.210719	0.104806	19.1837	91.0391	4.437166E-02	5000
1	6095772	var_3068	A	T	237	0.0237	0	0.0181062	0.0663604	4.11158	227.081	7.849713E-01	5000
1	6098452	var_3069	A	T	500	0.05	0	0.0877039	0.0464934	40.5729	462.613	5.924467E-02	5000
1	6105594	var_3075	A	T	219	0.0219	0	-0.0483449	0.068483	-10.3083	213.223	4.802250E-01	5000
1	6109294	var_3076	A	T	491	0.0491	0	0.0834563	0.046962	37.8413	453.426	7.555134E-02	5000
1	6109669	var_3077	A	T	177	0.0177	0	-0.108276	0.0757717	-18.8591	174.175	1.530093E-01	5000
1	6113939	var_3079	A	T	19	0.0019	0	-0.0594134	0.230235	-1.12084	18.865	7.963639E-01	5000
1	6116105	var_3081	A	T	15	0.0015	0	-0.176735	0.258868	-2.63735	14.9226	4.947807E-01	5000
1	6118172	var_3082	A	T	39	0.0039	0	0.119827	0.160892	4.62897	38.6305	4.564139E-01	5000
1	6118847	var_3083	A	T	159	0.0159	0	0.0614426	0.0806807	9.4391	153.625	4.463269E-01	5000
UR	UR	gene_23:synonymous:0.05	UR	UR	955.97	0.095597	0	-0.00371982	0.00745757	-66.8847	17980.6	6.179221E-01	5000
1	6238995	var_3139	A	T	27	0.0027	0	0.122053	0.193156	3.27138	26.803	5.274612E-01	5000
1	6247763	var_3142	A	T	41	0.0041	0	-0.156063	0.156996	-6.33179	40.5719	3.201923E-01	5000
1	6252142	var_3144	A	T	145	0.0145	0	0.105376	0.0838235	14.9972	142.321	2.087097E-01	5000
1	6255863	var_3146	A	T	54	0.0054	0	0.125278	0.13706	6.66892	53.2329	3.606960E-01	5000
1	6258696	var_3147	A	T	37	0.0037	0	0.404569	0.165257	14.8139	36.6166	1.436063E-02	5000
1	6260928	var_3148	A	T	21	0.0021	0	-0.594117	0.218972	-12.3906	20.8556	6.663554E-03	5000
1	6263539	var_3149	A	T	66	0.0066	0	-0.0774596	0.124012	-5.03675	65.0243	5.322232E-01	5000
1	6263785	var_3150	A	T	13	0.0013	0	-0.209719	0.278247	-2.70881	12.9163	4.510191E-01	5000
1	6275823	var_3154	A	T	72	0.0072	0	0.0648822	0.11893	4.58713	70.6993	5.853764E-01	5000
1	6278615	var_3155	A	T	131	0.0131	0	-0.0345462	0.0879996	-4.46107	129.134	6.946357E-01	5000
1	6279584	var_3156	A	T	14	0.0014	0	-0.126066	0.267963	-1.75569	13.9268	6.380265E-01	5000
1	6281011	var_3157	A	T	119	0.0119	0	0.253351	0.0928977	29.3571	115.875	6.387325E-03	5000
1	6281042	var_3158	A	T	77	0.0077	0	-0.0374245	0.115029	-2.8284	75.5762	7.449173E-01	5000
1	6281811	var_3160	A	T	155	0.0155	0	-0.140998	0.0816967	-21.1253	149.827	8.437093E-02	5000
UR	UR	gene_24:synonymous:0.05	UR	UR	171.244	0.0171244	0	-0.0174694	0.0161691	-66.8202	3824.98	2.799545E-01	5000
1	6440937	var_3250	A	T	397	0.0397	0	0.0257337	0.0511368	9.8409	382.413	6.148007E-01	5000
1	6441313	var_3251	A	T	73	0.0073	0	0.0450974	0.118133	3.23152	71.6563	7.026467E-01	5000
1	6442752	var_3252	A	T	137	0.0137	0	-0.020265	0.0867423	-2.6933	132.904	8.152777E-01	5000
1	6444165	var_3253	A	T	150	0.015	0	0.150748	0.0824383	22.1816	147.144	6.745732E-02	5000
1	6451765	var_3254	A	T	245	0.0245	0	-0.0564122	0.0642556	-13.6632	242.203	3.799793E-01	5000
1	6454635	var_3256	A	T	397	0.0397	0	-0.0546027	0.0518226	-20.3318	372.358	2.920454E-01	5000
1	6461816	var_3258	A	T	114	0.0114	0	0.0177477	0.0940692	2.00561	113.007	8.503546E-01	5000
1	6467008	var_3260	A	T	397	0.0397	0	0.0257337	0.0511368	9.8409	382.413	6.148007E-01	5000
1	6482136	var_3262	A	T	32	0.0032	0	-0.0624167	0.177583	-1.97924	31.7101	7.252289E-01	5000
1	6483408	var_3263	A	T	12	0.0012	0	-0.547493	0.2894	-6.53706	11.94	5.851455E-02	5000
1	6484818	var_3264	A	T	19	0.0019	0	-0.163514	0.230248	-3.08435	18.8629	4.776017E-01	5000
UR	UR	gene_25:synonymous:0.05	UR	UR	156.727	0.0156727	0	-0.0146012	0.0197604	-37.3935	2561	4.599612E-01	5000
1	6872390	var_3467	A	T	94	0.0094	0	0.0121637	0.104263	1.11894	91.9899	9.071262E-01	5000
1	6873970	var_3468	A	T	44	0.0044	0	0.00489384	0.15175	0.212515	43.425	9.742733E-01	5000
1	6877868	var_3470	A	T	291	0.0291	0	-0.00311545	0.059461	-0.881164	282.837	9.582141E-01	5000
1	6883128	var_3473	A	T	95	0.0095	0	-0.159959	0.103796	-14.8474	92.8197	1.232937E-01	5000
1	6884095	var_3474	A	T	153	0.0153	0	0.0106945	0.0822442	1.58106	147.839	8.965402E-01	5000
1	6896563	var_3478	A	T	306	0.0306	0	-0.0435917	0.0576547	-13.114	300.836	4.496000E-01	5000
1	6899095	var_3479	A	T	42	0.0042	0	-0.226849	0.155135	-9.4258	41.551	1.436674E-01	5000
1	6903090	var_3480	A	T	29	0.0029	0	-0.114482	0.186532	-3.29026	28.7404	5.393883E-01	5000
1	6906288	var_3481	A	T	181	0.0181	0	0.0905935	0.0754467	15.9154	175.679	2.298435E-01	5000
1	6906473	var_3482	A	T	181	0.0181	0	0.0905935	0.0754467	15.9154	175.679	2.298435E-01	5000
1	6910951	var_3485	A	T	94	0.0094	0	0.0121637	0.104263	1.11894	91.9899	9.071262E-01	5000
1	6911633	var_3488	A	T	124	0.0124	0	0.132618	0.0903732	16.2376	122.439	1.422543E-01	5000
1	6918226	var_3491	A	T	47	0.0047	0	-0.0262561	0.143646	-1.27245	48.4631	8.549684E-01	5000
UR	UR	gene_26:synonymous:0.05	UR	UR	410.864	0.0410864	0	0.00571409	0.013635	30.7352	5378.85	6.751612E-01	5000
1	6984443	var_3529	A	T	15	0.0015	0	-0.112682	0.259063	-1.67898	14.9001	6.635907E-01	5000
1	6985707	var_3532	A	T	40	0.004	0	0.40419	0.159197	15.9484	39.4575	1.111917E-02	5000
1	6989490	var_3534	A	T	25	0.0025	0	0.0655555	0.201048	1.62184	24.74	7.443726E-01	5000
1	6996036	var_3535	A	T	17	0.0017	0	0.189033	0.243172	3.19677	16.9112	4.369437E-01	5000
1	6996993	var_3537	A	T	122	0.0122	0	-0.0442359	0.0917693	-5.25268	118.742	6.297815E-01	5000
1	7007870	var_3541	A	T	115	0.0115	0	0.132519	0.0945701	14.8174	111.813	1.611296E-01	5000
1	7011625	var_3543	A	T	107	0.0107	0	-0.0193026	0.0978224	-2.01715	104.502	8.435750E-01	5000
1	7020374	var_3545	A	T	38	0.0038	0	0.178212	0.158932	7.0553	39.5893	2.621549E-01	5000
1	7023057	var_3548	A	T	89	0.0089	0	-0.156348	0.107285	-13.5836	86.8804	1.450299E-01	5000
UR	UR	gene_27:synonymous:0.05	UR	UR	314.643	0.0314643	0	-0.00771935	0.0131529	-44.621	5780.41	5.572747E-01	5000
1	7209454	var_3642	A	T	23	0.0023	0	0.234969	0.209299	5.36387	22.828	2.615858E-01	5000
1	7212022	var_3643	A	T	24	0.0024	0	0.348016	0.204858	8.29267	23.8284	8.935333E-02	5000
1	7214613	var_3644	A	T	44	0.0044	0	0.189192	0.151868	8.20301	43.358	2.128480E-01	5000
1	7216943	var_3647	A	T	25	0.0025	0	-0.179968	0.200839	-4.46171	24.7916	3.702080E-01	5000
1	7226933	var_3654	A	T	21	0.0021	0	-0.0421668	0.219025	-0.878988	20.8455	8.473345E-01	5000
1	7233003	var_3657	A	T	11	0.0011	0	0.44908	0.302124	4.91985	10.9554	1.371716E-01	5000
1	7235704	var_3658	A	T	74	0.0074	0	-0.236907	0.117315	-17.2135	72.6593	4.344535E-02	5000
1	7238593	var_3659	A	T	50	0.005	0	0.0583854	0.139525	2.99915	51.3681	6.756129E-01	5000
1	7240625	var_3660	A	T	34	0.0034	0	-0.0543572	0.172296	-1.83107	33.6859	7.523919E-01	5000
1	7241062	var_3661	A	T	165	0.0165	0	-0.0608215	0.0793297	-9.66463	158.901	4.432642E-01	5000
UR	UR	gene_28:synonymous:0.05	UR	UR	503.12	0.050312	0	0.00165498	0.00974384	17.4314	10532.7	8.651293E-01	5000
1	7481875	var_3780	A	T	162	0.0162	0	-0.0449936	0.0789864	-7.21184	160.286	5.689238E-01	5000
1	7497734	var_3786	A	T	115	0.0115	0	0.230121	0.0944741	25.7829	112.04	1.485828E-02	5000
1	7510533	var_3791	A	T	425	0.0425	0	0.0502066	0.0499823	20.0969	400.284	3.151437E-01	5000
1	7511749	var_3793	A	T	134	0.0134	0	-0.0289598	0.0870981	-3.8175	131.821	7.395141E-01	5000
1	7512204	var_3794	A	T	24	0.0024	0	-0.127012	0.204815	-3.02776	23.8384	5.351721E-01	5000
1	7512445	var_3795	A	T	208	0.0208	0	0.151152	0.0702527	30.6259	202.616	3.143291E-02	5000
1	7513700	var_3796	A	T	14	0.0014	0	-0.0791789	0.268108	-1.10151	13.9117	7.677462E-01	5000
1	7515233	var_3797	A	T	155	0.0155	0	-0.0539236	0.0811913	-8.18011	151.698	5.065915E-01	5000
1	7518495	var_3800	A	T	84	0.0084	0	0.181538	0.110182	14.9536	82.3719	9.943136E-02	5000
1	7530900	var_3808	A	T	44	0.0044	0	0.383316	0.151516	16.697	43.5593	1.141060E-02	5000
UR	UR	gene_29:synonymous:0.05	UR	UR	766.488	0.0766488	0	0.0151702	0.00808898	231.848	15283.1	6.073602E-02	5000
1	1375822	var_655	A	T	476	0.0476	0	-0.0176066	0.0475048	-7.80189	443.123	7.109148E-01	5000
1	1383760	var_658	A	T	327	0.0327	0	0.131417	0.0561878	41.6263	316.749	1.934112E-02	5000
1	1384587	var_660	A	T	22	0.0022	0	0.168845	0.213941	3.68893	21.8481	4.299882E-01	5000
1	1385147	var_661	A	T	476	0.0476	0	-0.0176066	0.0475048	-7.80189	443.123	7.109148E-01	5000
1	1388370	var_663	A	T	56	0.0056	0	-0.101156	0.134495	-5.59213	55.2821	4.519815E-01	5000
1	1388689	var_664	A	T	37	0.0037	0	-0.0429008	0.16534	-1.56932	36.5802	7.952720E-01	5000
1	1389755	var_665	A	T	38	0.0038	0	-0.050866	0.163207	-1.90964	37.5427	7.552940E-01	5000
1	1392495	var_666	A	T	9783	0.9783	0	0.102618	0.0688521	21.6465	210.943	1.361174E-01	5000
1	1393149	var_668	A	T	350	0.035	0	-0.0739995	0.0545258	-24.89	336.353	1.747348E-01	5000
UR	UR	gene_3:synonymous:0.05	UR	UR	424.017	0.0424017	0	0.0162548	0.0109766	134.911	8299.78	1.386427E-01	5000
1	7543547	var_3816	A	T	9598	0.9598	0	-0.0830813	0.051104	-31.8121	382.904	1.040073E-01	5000
1	7564852	var_3828	A	T	226	0.0226	0	0.232781	0.0675666	50.9898	219.046	5.706187E-04	5000
1	7573356	var_3830	A	T	15	0.0015	0	0.139041	0.259013	2.07252	14.9059	5.913992E-01	5000
1	7574828	var_3831	A	T	20	0.002	0	0.373391	0.224447	7.41201	19.8505	9.619161E-02	5000
1	7577816	var_3833	A	T	77	0.0077	0	-0.0646906	0.113546	-5.01763	77.5635	5.688600E-01	5000
