Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
gene_50	synonymous	0.5	3.510932E-01	0.0182619	0.0195844	39378.2	13	0
gene_50	Cauchy	NA	0.351093	NA	NA	NA	NA	NA
gene_51	synonymous	0.5	4.491877E-01	-0.0143516	0.0189642	42406.5	14	0
gene_51	Cauchy	NA	0.449188	NA	NA	NA	NA	NA
gene_52	synonymous	0.5	8.410264E-01	0.00563591	0.028098	30290.4	10	0
gene_52	Cauchy	NA	0.841026	NA	NA	NA	NA	NA
gene_53	synonymous	0.5	8.327734E-01	0.0047265	0.022385	30290.4	10	0
gene_53	Cauchy	NA	0.832773	NA	NA	NA	NA	NA
gene_54	synonymous	0.5	3.857757E-01	-0.0199164	0.0229636	27261.3	9	0
gene_54	Cauchy	NA	0.385776	NA	NA	NA	NA	NA
gene_55	synonymous	0.5	6.970454E-01	0.0104665	0.0268846	45436.3	15	0
gene_55	Cauchy	NA	0.697045	NA	NA	NA	NA	NA
gene_56	synonymous	0.5	7.978962E-01	-0.00484136	0.0189063	36348.4	12	0
gene_56	Cauchy	NA	0.797896	NA	NA	NA	NA	NA
gene_57	synonymous	0.5	1.720654E-01	-0.0379487	0.0277891	24232.3	8	0
gene_57	Cauchy	NA	0.172065	NA	NA	NA	NA	NA
gene_58	synonymous	0.5	4.926804E-01	0.0151654	0.0221053	36348.4	12	0
gene_58	Cauchy	NA	0.49268	NA	NA	NA	NA	NA
gene_59	synonymous	0.5	6.835658E-01	0.015439	0.0378777	12116.1	4	0
gene_59	Cauchy	NA	0.683566	NA	NA	NA	NA	NA
gene_6	synonymous	0.5	2.365484E-01	0.0828576	0.0700013	9087.11	3	0
gene_6	Cauchy	NA	0.236548	NA	NA	NA	NA	NA
gene_60	synonymous	0.5	4.730794E-01	-0.0164246	0.0228921	51493.6	17	0
gene_60	Cauchy	NA	0.473079	NA	NA	NA	NA	NA
gene_61	synonymous	0.5	2.156331E-01	-0.0272632	0.022018	33320.2	11	0
gene_61	Cauchy	NA	0.215633	NA	NA	NA	NA	NA
gene_62	synonymous	0.5	6.087631E-01	-0.0134736	0.0263238	36348.4	12	0
gene_62	Cauchy	NA	0.608763	NA	NA	NA	NA	NA
gene_63	synonymous	0.5	3.682890E-01	-0.019866	0.0220811	42406.5	14	0
gene_63	Cauchy	NA	0.368289	NA	NA	NA	NA	NA
gene_64	synonymous	0.5	4.509528E-01	0.0246201	0.0326601	33319.8	11	0
gene_64	Cauchy	NA	0.450953	NA	NA	NA	NA	NA
gene_65	synonymous	0.5	2.206872E-01	-0.0331939	0.0271036	21204.4	7	0
gene_65	Cauchy	NA	0.220687	NA	NA	NA	NA	NA
gene_66	synonymous	0.5	5.409331E-03	-0.100601	0.0361667	27261.3	9	0
gene_66	Cauchy	NA	0.00540933	NA	NA	NA	NA	NA
gene_67	synonymous	0.5	3.260373E-01	-0.0404272	0.0411629	33319.4	11	0
gene_67	Cauchy	NA	0.326037	NA	NA	NA	NA	NA
gene_68	synonymous	0.5	3.292551E-01	0.0290187	0.029744	36348.4	12	0
gene_68	Cauchy	NA	0.329255	NA	NA	NA	NA	NA
gene_69	synonymous	0.5	1.554500E-01	-0.0352919	0.024844	33320.6	11	0
gene_69	Cauchy	NA	0.15545	NA	NA	NA	NA	NA
gene_7	synonymous	0.5	9.607357E-01	-0.0015239	0.0309545	30290.4	10	0
gene_7	Cauchy	NA	0.960736	NA	NA	NA	NA	NA
gene_70	synonymous	0.5	2.104486E-01	0.0221665	0.0177001	51493.6	17	0
gene_70	Cauchy	NA	0.210449	NA	NA	NA	NA	NA
gene_71	synonymous	0.5	4.755851E-01	-0.0102543	0.0143734	33319.4	11	0
gene_71	Cauchy	NA	0.475585	NA	NA	NA	NA	NA
gene_72	synonymous	0.5	5.895179E-01	0.0106026	0.0196514	39377.5	13	0
gene_72	Cauchy	NA	0.589518	NA	NA	NA	NA	NA
gene_73	synonymous	0.5	9.298575E-01	0.00169927	0.0193046	45435.5	15	0
gene_73	Cauchy	NA	0.929858	NA	NA	NA	NA	NA
gene_74	synonymous	0.5	4.949146E-01	0.0126367	0.0185149	39378.6	13	0
gene_74	Cauchy	NA	0.494915	NA	NA	NA	NA	NA
gene_75	synonymous	0.5	7.961716E-01	0.0054411	0.0210646	39377.5	13	0
gene_75	Cauchy	NA	0.796172	NA	NA	NA	NA	NA
gene_76	synonymous	0.5	3.006511E-01	0.0233678	0.0225768	33319.4	11	0
gene_76	Cauchy	NA	0.300651	NA	NA	NA	NA	NA
gene_77	synonymous	0.5	5.466453E-02	-0.0448629	0.0233475	33319.4	11	0
gene_77	Cauchy	NA	0.0546645	NA	NA	NA	NA	NA
gene_78	synonymous	0.5	7.908066E-01	-0.00882167	0.0332563	18174.2	6	0
gene_78	Cauchy	NA	0.790807	NA	NA	NA	NA	NA
gene_79	synonymous	0.5	9.636087E-01	-0.000906225	0.0198622	36348.4	12	0
gene_79	Cauchy	NA	0.963609	NA	NA	NA	NA	NA
gene_8	synonymous	0.5	4.411103E-01	0.0110451	0.0143384	54523.8	18	0
gene_8	Cauchy	NA	0.44111	NA	NA	NA	NA	NA
gene_80	synonymous	0.5	8.058391E-01	0.00661213	0.0269007	45435.5	15	0
gene_80	Cauchy	NA	0.805839	NA	NA	NA	NA	NA
gene_81	synonymous	0.5	9.471071E-01	-0.00117764	0.0177516	30290.4	10	0
gene_81	Cauchy	NA	0.947107	NA	NA	NA	NA	NA
gene_82	synonymous	0.5	6.529558E-02	0.0463153	0.0251272	27261.7	9	0
gene_82	Cauchy	NA	0.0652956	NA	NA	NA	NA	NA
gene_83	synonymous	0.5	8.019029E-01	-0.00558023	0.0222422	54523	18	0
gene_83	Cauchy	NA	0.801903	NA	NA	NA	NA	NA
gene_84	synonymous	0.5	7.426948E-01	0.0115189	0.0350879	21203.3	7	0
gene_84	Cauchy	NA	0.742695	NA	NA	NA	NA	NA
gene_85	synonymous	0.5	7.219942E-02	0.0502656	0.0279586	39377.8	13	0
gene_85	Cauchy	NA	0.0721994	NA	NA	NA	NA	NA
gene_86	synonymous	0.5	4.320690E-01	0.030254	0.038508	15145.2	5	0
gene_86	Cauchy	NA	0.432069	NA	NA	NA	NA	NA
gene_87	synonymous	0.5	8.661161E-01	0.00473177	0.0280661	24232.3	8	0
gene_87	Cauchy	NA	0.866116	NA	NA	NA	NA	NA
gene_88	synonymous	0.5	6.876943E-01	-0.00796548	0.0198153	51493.6	17	0
gene_88	Cauchy	NA	0.687694	NA	NA	NA	NA	NA
gene_89	synonymous	0.5	6.403920E-01	0.00945378	0.0202371	42406.9	14	0
gene_89	Cauchy	NA	0.640392	NA	NA	NA	NA	NA
gene_9	synonymous	0.5	3.925248E-01	0.0127603	0.0149235	51493.6	17	0
gene_9	Cauchy	NA	0.392525	NA	NA	NA	NA	NA
gene_90	synonymous	0.5	5.168775E-01	0.0153368	0.0236619	30290.4	10	0
gene_90	Cauchy	NA	0.516877	NA	NA	NA	NA	NA
gene_91	synonymous	0.5	7.803454E-01	-0.00501826	0.017995	69667.8	23	0
gene_91	Cauchy	NA	0.780345	NA	NA	NA	NA	NA
gene_92	synonymous	0.5	5.465165E-01	-0.0203714	0.0337841	33319.4	11	0
gene_92	Cauchy	NA	0.546516	NA	NA	NA	NA	NA
gene_93	synonymous	0.5	5.182094E-01	-0.00896654	0.0138778	36350.4	12	0
gene_93	Cauchy	NA	0.518209	NA	NA	NA	NA	NA
gene_94	synonymous	0.5	6.314990E-01	0.0130254	0.0271579	30290.4	10	0
gene_94	Cauchy	NA	0.631499	NA	NA	NA	NA	NA
gene_95	synonymous	0.5	2.646566E-01	0.0220036	0.0197261	36348.4	12	0
gene_95	Cauchy	NA	0.264657	NA	NA	NA	NA	NA
gene_96	synonymous	0.5	7.073261E-01	-0.0113663	0.0302738	39377.5	13	0
gene_96	Cauchy	NA	0.707326	NA	NA	NA	NA	NA
gene_97	synonymous	0.5	3.825375E-01	0.0165393	0.0189403	30290.3	10	0
gene_97	Cauchy	NA	0.382538	NA	NA	NA	NA	NA
gene_98	synonymous	0.5	5.382401E-03	0.0836215	0.030045	30290.3	10	0
gene_98	Cauchy	NA	0.0053824	NA	NA	NA	NA	NA
gene_99	synonymous	0.5	9.284721E-01	-0.00306936	0.0341924	33319.8	11	0
gene_99	Cauchy	NA	0.928472	NA	NA	NA	NA	NA
